F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
-2.06,-2.39,-1.02,-1.81,-1.98,0.83,10.0,5.5,8.6,35.0,255.0,15.0,5.25,-20.0,False
4.64,2.78,3.74,4.05,3.1,0.45,1.0,0.85,0.73,26.0,6.0,4.0,0.38,9.0,True
-1.41,-0.72,-0.88,-0.46,-0.68,0.42,10.0,7.45,6.55,145.0,225.0,15.0,14.15,20.0,True
-2.31,-1.54,-1.89,-2.04,2.62,1.13,10.0,8.1,7.3,160.0,335.0,5.0,8.6,-35.0,False
-2.02,-2.03,-1.24,-1.79,-1.85,-0.14,10.0,7.15,7.35,70.0,200.0,15.0,5.3,60.0,True
-1.86,-0.92,-2.04,-2.0,-2.64,1.17,10.0,7.15,7.3,55.0,80.0,5.0,6.75,-35.0,True
2.68,2.68,2.14,4.68,2.78,0.75,1.0,0.82,0.89,5.0,48.0,2.0,1.72,21.0,True
0.1,1.2,-0.63,0.12,-0.0,-0.97,10.0,5.3,6.1,145.0,65.0,5.0,13.2,-50.0,False
-2.03,-1.21,-2.21,-1.36,-0.55,-0.13,10.0,6.3,8.85,140.0,335.0,25.0,7.75,50.0,True
2.52,2.15,3.27,2.94,4.81,1.81,1.0,1.0,0.47,9.0,16.0,2.0,0.6,20.0,True
-2.12,-1.18,-2.03,0.39,-2.12,0.65,10.0,6.85,6.2,90.0,65.0,5.0,10.8,-90.0,False
4.48,3.68,4.07,3.1,2.96,1.92,1.0,0.83,0.16,35.0,17.0,2.0,1.16,4.0,False
3.41,3.0,3.25,3.49,2.79,0.67,1.0,0.49,0.51,34.0,18.0,4.0,0.67,9.0,False
3.48,3.18,2.94,2.52,3.1,1.44,1.0,0.67,0.56,26.0,65.0,2.0,1.41,9.0,False
-1.79,-0.58,-1.04,-1.32,-0.87,-1.05,10.0,5.5,8.0,120.0,20.0,15.0,6.65,25.0,False
-0.24,-2.41,-2.35,-2.22,-1.99,2.61,10.0,6.5,7.85,75.0,340.0,15.0,11.7,60.0,True
-2.51,-0.07,-2.02,-1.91,1.97,-0.01,10.0,9.0,5.25,190.0,190.0,15.0,12.55,-80.0,True
-2.81,-1.64,-1.45,-2.42,-2.36,1.71,10.0,8.0,8.65,180.0,285.0,5.0,10.1,-45.0,False
3.94,2.59,5.34,2.53,5.51,1.02,1.0,0.43,0.81,21.0,71.0,2.0,1.6,5.0,False
2.69,4.92,4.53,3.56,2.83,1.26,1.0,0.5,0.94,43.0,43.0,4.0,0.35,17.0,False
-0.42,-1.7,-2.01,-1.01,1.1,0.03,10.0,7.9,6.5,200.0,110.0,15.0,6.25,-70.0,False
-1.1,-1.68,-2.51,-2.26,1.23,0.76,10.0,7.1,6.7,25.0,295.0,15.0,10.5,35.0,True
3.15,2.34,2.66,2.34,2.22,1.15,0.0,0.95,0.26,24.0,21.0,2.0,0.29,7.0,True
3.05,3.65,2.37,2.81,2.45,0.67,1.0,0.56,0.49,8.0,9.0,2.0,1.23,4.0,False
-1.07,-0.14,1.13,0.55,-1.51,0.74,10.0,4.9,7.4,70.0,280.0,15.0,6.65,-15.0,False
3.03,4.26,3.83,6.04,2.05,1.18,1.0,0.84,0.88,8.0,6.0,0.0,0.57,-7.0,True
3.92,2.39,2.87,3.27,4.57,1.38,1.0,0.84,0.79,33.0,13.0,2.0,1.32,13.0,True
2.57,4.89,4.02,3.46,5.84,0.72,1.0,0.91,0.42,38.0,51.0,2.0,1.87,-19.0,True
5.89,2.76,3.54,4.22,4.67,0.84,1.0,0.53,1.05,29.0,26.0,2.0,1.84,15.0,True
-0.26,0.37,-1.13,-0.44,0.99,-0.89,10.0,6.35,5.1,120.0,85.0,15.0,14.75,-15.0,False
3.07,2.36,3.57,2.23,3.43,1.91,1.0,0.53,0.75,9.0,3.0,0.0,0.44,-13.0,True
2.89,3.37,3.81,2.57,3.03,0.72,1.0,0.63,0.42,13.0,0.0,1.0,0.75,4.0,False
1.47,-1.4,-1.34,-1.48,-0.38,1.4,10.0,5.9,6.85,60.0,270.0,15.0,6.7,-65.0,False
-0.95,-2.5,-2.74,-1.86,-2.34,1.23,10.0,8.95,8.55,200.0,255.0,15.0,6.5,-45.0,True
5.69,2.26,2.3,2.84,2.73,0.61,1.0,0.94,0.24,7.0,2.0,2.0,1.47,3.0,True
-1.76,-2.38,-1.95,0.54,-0.6,1.09,10.0,7.2,6.7,115.0,290.0,15.0,5.9,-60.0,False
2.76,5.06,6.02,3.0,4.21,0.59,1.0,0.93,0.48,26.0,50.0,4.0,0.89,10.0,True
0.14,-0.88,-1.83,-1.57,-1.73,3.0,10.0,6.15,7.1,85.0,260.0,5.0,7.05,-10.0,False
-1.81,0.07,-1.99,-1.8,0.14,0.58,10.0,6.75,5.15,35.0,25.0,15.0,6.4,75.0,False
-0.95,-0.62,1.66,-0.61,-1.08,-0.3,10.0,5.4,8.2,235.0,40.0,15.0,9.8,20.0,False
-1.66,-1.77,-2.08,-0.31,-2.16,0.87,10.0,5.1,9.1,75.0,155.0,5.0,9.45,-85.0,False
2.67,2.77,2.43,5.4,4.43,0.77,1.0,0.38,0.76,32.0,33.0,4.0,1.13,20.0,False
2.37,3.71,2.34,3.9,7.18,2.68,1.0,0.99,0.36,35.0,35.0,2.0,1.57,-15.0,True
-1.81,-2.2,0.51,0.2,-0.44,0.42,10.0,8.4,6.9,200.0,155.0,15.0,10.3,-85.0,True
-0.15,-0.36,0.18,-0.49,0.03,1.86,10.0,5.85,5.1,165.0,275.0,15.0,7.55,0.0,False
6.0,2.52,3.18,4.24,2.33,0.12,1.0,0.45,0.82,4.0,28.0,4.0,1.83,15.0,True
2.92,2.57,3.48,5.07,3.64,1.65,1.0,0.7,0.27,33.0,17.0,4.0,0.21,5.0,False
2.87,5.93,2.27,3.87,2.53,0.58,1.0,0.84,0.2,18.0,74.0,4.0,1.37,16.0,False
-1.71,-1.5,-1.69,-1.87,0.01,1.84,10.0,5.1,8.6,105.0,140.0,15.0,5.3,-15.0,False
2.71,2.53,2.51,3.81,2.88,1.52,1.0,0.67,0.66,19.0,6.0,4.0,1.83,18.0,True
2.24,0.34,0.11,0.43,1.25,-0.32,10.0,5.65,5.1,190.0,165.0,15.0,11.3,80.0,False
-2.16,-1.33,-0.23,-2.64,-1.47,1.15,10.0,7.75,6.5,55.0,295.0,15.0,10.65,45.0,True
4.33,4.43,2.29,2.83,2.43,3.08,1.0,0.3,0.91,4.0,20.0,2.0,1.42,-20.0,False
-3.15,-1.58,-1.84,-2.25,-0.57,2.09,10.0,8.5,10.05,80.0,265.0,5.0,6.35,-65.0,True
5.8,3.15,3.72,2.91,2.92,3.03,1.0,0.05,0.86,18.0,19.0,4.0,0.61,13.0,False
-0.78,-1.39,-1.89,-1.11,-1.52,1.33,10.0,6.25,8.6,205.0,20.0,15.0,5.05,10.0,True
2.65,2.41,2.72,2.4,6.85,2.96,1.0,0.81,0.04,33.0,48.0,4.0,1.32,7.0,False
2.13,1.95,8.15,2.91,4.43,2.5,1.0,1.01,0.98,6.0,27.0,4.0,1.79,7.0,True
4.97,3.51,3.12,2.62,2.33,1.12,1.0,0.91,0.18,18.0,18.0,4.0,0.4,9.0,False
2.81,3.55,3.25,3.46,3.03,1.02,1.0,1.0,0.21,37.0,43.0,2.0,1.72,12.0,False
3.02,3.8,4.11,2.8,2.46,2.06,1.0,0.93,0.82,21.0,77.0,2.0,1.17,5.0,True
6.83,2.92,3.87,3.8,5.11,0.34,1.0,0.56,0.49,32.0,3.0,4.0,0.88,12.0,True
2.3,-0.66,0.65,-1.66,-1.27,2.32,10.0,5.6,7.1,95.0,325.0,15.0,8.8,-15.0,False
3.66,5.18,5.43,3.27,2.36,2.79,1.0,0.96,0.92,34.0,49.0,2.0,1.11,-8.0,True
0.15,-2.16,-2.17,-0.33,-0.56,0.95,10.0,5.85,9.5,160.0,35.0,5.0,7.15,-65.0,False
3.9,3.48,2.36,5.15,3.46,1.73,1.0,0.3,0.71,7.0,13.0,0.0,1.24,-9.0,False
-1.36,-1.9,-1.74,0.01,-0.18,0.13,10.0,7.5,9.3,165.0,5.0,0.0,7.95,-65.0,True
2.91,3.93,4.18,3.52,2.8,0.82,1.0,0.7,0.09,15.0,69.0,4.0,1.39,6.0,False
3.75,2.67,3.32,2.38,2.38,4.81,1.0,0.11,0.99,4.0,11.0,2.0,0.74,5.0,False
-1.86,0.77,-1.71,-1.9,-0.18,-0.29,10.0,6.75,7.3,185.0,250.0,15.0,10.9,45.0,False
6.09,3.2,3.02,3.67,3.44,0.54,1.0,0.57,0.34,9.0,33.0,4.0,0.8,6.0,False
2.7,2.37,3.38,2.52,2.77,0.84,1.0,0.63,0.58,24.0,16.0,2.0,1.82,3.0,True
-1.13,0.84,-1.66,-1.58,-0.53,-0.76,10.0,5.7,7.45,120.0,135.0,5.0,12.1,-15.0,False
-1.77,-0.9,-1.7,-1.35,-0.84,0.81,10.0,5.65,7.9,120.0,120.0,5.0,7.95,-55.0,False
2.96,2.82,2.61,2.73,4.25,0.17,1.0,0.96,0.04,42.0,21.0,4.0,1.38,9.0,True
-0.93,-0.69,-0.87,-1.31,0.81,1.14,10.0,6.1,6.95,150.0,30.0,5.0,5.6,-90.0,False
2.18,3.39,2.86,2.52,2.65,1.49,1.0,0.99,0.35,1.0,12.0,0.0,1.8,-1.0,True
3.15,2.67,2.5,3.65,3.53,1.68,1.0,0.24,0.62,14.0,6.0,2.0,0.91,4.0,False
-2.0,-1.55,-1.99,-1.35,2.34,3.71,10.0,6.4,8.2,170.0,120.0,15.0,7.6,-80.0,False
-1.46,-0.9,-0.66,-0.04,4.92,-0.43,10.0,5.4,9.7,215.0,215.0,20.0,9.8,5.0,False
0.61,-0.74,-1.08,1.3,1.0,1.73,10.0,6.4,6.4,210.0,335.0,15.0,9.05,-30.0,False
0.73,-1.8,-0.23,-2.4,-0.67,0.64,10.0,7.75,7.5,215.0,330.0,15.0,11.3,-10.0,False
2.44,3.61,3.4,2.65,2.5,1.66,1.0,0.7,0.76,9.0,21.0,4.0,0.89,17.0,True
0.26,-2.03,0.66,-0.96,-2.05,2.7,10.0,6.85,5.35,60.0,295.0,15.0,6.25,-20.0,False
0.98,0.11,-0.41,0.4,-0.06,0.59,10.0,4.5,7.3,150.0,315.0,25.0,5.3,10.0,False
3.57,2.96,5.6,2.34,3.1,0.84,1.0,0.46,0.74,18.0,14.0,0.0,1.77,-18.0,False
-1.07,-1.08,-2.27,0.04,-1.14,-1.1,10.0,6.65,6.0,35.0,5.0,10.0,10.45,0.0,False
4.91,2.52,2.8,2.84,3.74,0.99,1.0,0.9,0.94,36.0,33.0,4.0,0.09,11.0,True
1.49,-1.78,-1.17,-1.88,1.34,-0.14,10.0,6.05,7.8,125.0,70.0,15.0,7.55,45.0,False
-2.55,-0.64,-0.86,-2.32,-2.78,0.67,10.0,6.05,9.45,25.0,355.0,5.0,12.5,-30.0,False
2.96,5.81,3.55,4.05,2.26,0.63,1.0,0.53,0.94,16.0,24.0,0.0,1.3,-13.0,True
4.95,3.66,2.48,4.17,4.63,0.5,1.0,0.59,0.79,42.0,13.0,4.0,0.81,13.0,True
3.78,4.87,2.89,2.52,2.68,0.33,1.0,0.74,0.33,7.0,20.0,4.0,0.9,15.0,True
-2.08,0.85,1.21,-1.03,-1.82,0.91,10.0,6.35,7.2,95.0,230.0,15.0,8.6,95.0,True
-1.8,-1.63,0.28,-1.78,0.38,0.73,10.0,6.9,5.9,90.0,120.0,15.0,7.25,50.0,True
2.43,3.62,2.54,3.19,2.25,1.62,1.0,0.6,0.79,21.0,5.0,2.0,0.22,-16.0,True
4.52,3.0,3.61,3.53,4.36,0.52,1.0,0.77,0.5,5.0,15.0,2.0,0.27,4.0,True
3.41,2.4,4.27,4.16,2.44,1.64,1.0,0.26,0.89,3.0,4.0,2.0,2.04,-1.0,True
3.23,3.2,4.76,3.53,2.86,1.72,1.0,0.58,0.06,9.0,15.0,4.0,1.95,15.0,True
-1.32,-0.15,-1.66,-1.46,1.16,2.55,10.0,5.7,7.1,110.0,255.0,5.0,9.2,0.0,False
-1.9,-2.58,-1.32,-1.67,-2.38,-0.3,5.0,6.4,6.4,70.0,355.0,25.0,7.95,45.0,True
-1.48,-1.11,-1.68,-1.67,-1.94,-0.38,10.0,6.45,6.8,90.0,230.0,15.0,14.35,55.0,False
3.0,4.07,2.81,2.38,4.07,0.61,1.0,0.96,0.6,15.0,7.0,2.0,0.6,11.0,True
3.76,5.99,4.02,4.64,9.03,1.2,1.0,0.8,0.16,0.0,2.0,4.0,1.39,11.0,True
3.02,2.19,2.4,2.27,3.26,2.64,1.0,0.8,0.85,24.0,26.0,2.0,0.39,-4.0,True
-1.45,3.77,-0.81,-1.68,0.06,0.93,10.0,5.35,8.7,35.0,360.0,15.0,9.0,10.0,False
0.41,-0.34,-0.58,-0.53,-0.82,1.85,10.0,5.3,6.35,105.0,70.0,25.0,6.75,30.0,False
-2.9,-1.85,-2.14,-2.48,-0.57,0.79,10.0,7.6,9.7,175.0,330.0,15.0,5.55,10.0,False
4.26,3.52,2.49,5.76,4.08,1.59,1.0,0.57,0.65,40.0,9.0,2.0,0.3,8.0,False
3.54,2.28,3.99,3.25,3.31,2.52,1.0,0.76,0.81,6.0,58.0,2.0,1.32,-9.0,True
-0.62,0.16,1.12,-1.46,0.06,-0.34,10.0,5.4,6.85,15.0,55.0,5.0,13.15,-5.0,False
2.45,-0.07,0.77,-1.92,-2.09,0.37,10.0,8.05,6.55,215.0,25.0,5.0,10.4,-70.0,True
-0.5,-1.04,-1.01,2.27,-1.0,2.07,10.0,5.6,7.25,180.0,10.0,25.0,6.05,55.0,False
-2.68,-3.01,0.25,-2.69,-1.97,-0.02,10.0,9.05,5.95,50.0,250.0,25.0,7.6,30.0,True
4.79,5.49,2.57,4.84,4.36,0.72,1.0,0.76,0.65,16.0,11.0,0.0,1.91,-1.0,True
4.07,2.42,5.74,3.33,2.7,1.45,1.0,0.5,0.29,14.0,33.0,2.0,1.47,12.0,False
-0.14,-2.43,-2.45,-0.0,-2.4,-0.15,10.0,7.4,5.8,35.0,70.0,5.0,12.45,-65.0,True
-1.67,-2.58,-2.54,-1.07,-2.49,3.0,10.0,7.7,7.35,145.0,355.0,15.0,6.65,-15.0,False
2.56,3.03,2.62,3.97,3.11,0.43,1.0,0.79,0.3,33.0,1.0,3.0,0.03,0.0,False
2.76,2.6,2.7,9.39,3.18,0.82,1.0,0.26,0.62,35.0,23.0,2.0,1.05,14.0,False
3.16,3.16,2.43,4.73,5.47,1.48,1.0,0.87,0.97,23.0,49.0,4.0,0.34,15.0,True
1.2,0.09,0.91,-0.3,0.35,-0.76,10.0,5.0,7.35,210.0,190.0,15.0,11.0,-10.0,False
-2.53,-1.11,-1.67,-2.27,-2.39,-0.34,10.0,5.65,9.6,75.0,110.0,15.0,6.95,40.0,True
3.08,2.74,2.91,2.93,3.05,0.8,1.0,0.54,0.64,40.0,42.0,2.0,1.66,19.0,False
3.17,2.49,2.9,2.48,2.29,0.54,1.0,0.76,0.72,5.0,24.0,4.0,1.54,8.0,True
3.22,4.34,2.31,2.6,3.03,0.5,1.0,0.85,0.52,44.0,8.0,4.0,1.83,6.0,True
2.56,4.66,2.57,4.85,8.37,2.47,1.0,0.5,0.61,36.0,9.0,2.0,1.46,10.0,False
-0.77,0.48,-0.92,-1.05,-0.07,0.69,10.0,5.75,7.95,225.0,80.0,15.0,5.55,-25.0,False
2.84,2.54,2.43,2.27,2.92,3.27,1.0,0.86,0.45,13.0,72.0,4.0,1.04,1.0,True
-1.55,-1.74,-0.83,-1.72,-2.25,0.79,10.0,5.8,9.5,150.0,205.0,5.0,13.0,-30.0,True
-0.89,-0.13,-0.6,-1.3,-0.68,-0.93,10.0,5.6,6.15,65.0,130.0,25.0,9.2,10.0,False
2.81,-2.23,-1.4,-1.65,-2.13,3.16,10.0,5.85,7.5,30.0,140.0,15.0,8.0,-5.0,True
-1.9,-1.96,-2.86,-1.0,-2.24,4.36,10.0,9.3,8.25,215.0,370.0,15.0,6.45,30.0,True
-1.4,-2.32,-2.72,-1.89,-0.7,0.45,10.0,8.3,8.35,55.0,245.0,15.0,7.4,-15.0,True
-1.26,-2.34,-2.54,-1.02,-2.12,0.47,10.0,5.35,9.25,0.0,325.0,25.0,5.5,30.0,True
-2.45,-1.15,-1.56,-2.12,-1.6,0.53,10.0,8.2,5.7,130.0,190.0,15.0,11.2,-70.0,True
-2.47,-1.8,-1.72,-2.33,-1.67,0.77,10.0,7.05,8.75,185.0,285.0,15.0,9.15,-60.0,False
0.02,-1.66,-2.02,-1.48,0.84,1.16,10.0,6.2,9.1,230.0,215.0,15.0,5.0,-10.0,False
2.36,3.55,2.3,2.42,4.87,1.77,1.0,0.43,1.02,13.0,10.0,0.0,1.77,-1.0,True
5.44,4.05,4.02,4.1,5.73,2.4,1.0,0.74,0.64,41.0,10.0,2.0,0.42,-1.0,False
-1.98,-2.65,-2.33,-1.75,-2.74,1.6,10.0,8.45,8.25,150.0,335.0,15.0,5.55,20.0,True
2.58,2.82,3.43,2.74,3.2,0.69,1.0,0.87,0.81,37.0,7.0,4.0,1.62,18.0,True
1.2,0.08,-1.79,2.33,1.86,0.85,10.0,5.2,7.7,60.0,35.0,25.0,6.15,10.0,False
2.94,2.21,3.52,2.94,2.17,1.77,1.0,0.51,0.91,4.0,30.0,4.0,0.54,3.0,True
-0.27,-1.28,-1.12,0.32,0.01,0.43,10.0,5.55,7.4,130.0,305.0,5.0,12.55,-10.0,False
-1.74,-1.05,-2.08,0.67,-1.74,1.49,10.0,5.5,9.8,-5.0,370.0,5.0,6.35,-80.0,False
-0.79,-1.31,-2.05,-2.21,-2.14,2.06,10.0,7.8,5.95,125.0,90.0,5.0,8.15,-10.0,True
-1.83,1.02,-1.07,-1.39,-1.2,3.09,10.0,5.2,7.7,25.0,140.0,25.0,5.3,65.0,True
-2.11,-1.44,-2.91,-2.09,-1.39,1.08,10.0,7.15,9.45,55.0,315.0,15.0,6.25,-20.0,True
-2.38,-2.56,-1.78,-0.9,-2.7,-0.44,10.0,9.15,6.4,200.0,200.0,25.0,6.0,55.0,True
2.26,2.32,5.15,2.8,5.32,1.15,1.0,0.97,0.49,17.0,11.0,0.0,1.71,-13.0,True
2.26,2.24,2.26,3.14,2.58,0.2,1.0,0.67,0.79,3.0,7.0,4.0,1.43,12.0,True
0.38,0.75,0.07,-0.2,0.31,-0.26,10.0,5.5,5.25,170.0,95.0,25.0,6.45,45.0,False
-2.07,-2.16,-2.45,-1.2,-3.02,1.33,10.0,9.85,5.7,35.0,390.0,5.0,12.5,-25.0,True
2.41,3.38,5.31,2.27,4.8,3.1,1.0,0.95,0.64,17.0,21.0,0.0,0.68,-19.0,True
2.03,-0.21,2.37,-0.19,-0.92,-0.81,10.0,5.3,7.0,170.0,35.0,15.0,11.95,-100.0,False
-0.31,-0.14,0.07,0.32,0.4,1.2,10.0,5.9,6.7,220.0,370.0,15.0,10.9,45.0,False
3.12,2.32,2.89,2.96,2.37,0.68,1.0,0.78,0.85,17.0,22.0,2.0,0.88,-3.0,True
6.33,2.68,5.83,3.09,3.36,1.48,1.0,0.12,0.91,0.0,3.0,0.0,2.13,-15.0,False
3.62,2.48,2.6,4.27,3.61,1.7,1.0,0.74,0.29,26.0,27.0,2.0,0.86,3.0,False
2.99,3.29,2.94,7.62,3.27,0.5,1.0,0.12,0.78,28.0,3.0,4.0,1.22,3.0,False
-0.99,-1.59,-0.31,-1.53,-0.54,0.77,10.0,5.05,8.25,105.0,315.0,15.0,13.1,-35.0,False
3.29,2.64,5.16,5.3,3.39,1.27,1.0,0.52,0.37,18.0,16.0,2.0,1.18,15.0,False
-2.14,-2.08,-1.79,-2.77,-2.69,4.63,5.0,6.95,8.9,190.0,325.0,5.0,12.1,-50.0,True
5.12,2.43,6.82,2.3,2.53,3.12,1.0,0.84,0.38,36.0,39.0,2.0,1.19,-14.0,True
-0.53,1.56,-1.41,0.82,0.41,1.28,10.0,6.25,5.2,100.0,55.0,5.0,6.45,-35.0,False
4.6,2.46,3.08,2.36,2.33,0.03,1.0,0.67,0.51,11.0,3.0,2.0,1.88,12.0,True
2.53,7.92,3.39,5.37,2.41,3.21,1.0,0.52,0.63,20.0,15.0,0.0,1.44,-7.0,False
3.89,5.2,3.8,2.96,2.43,0.71,1.0,0.92,0.39,25.0,1.0,2.0,1.54,-16.0,True
2.37,2.62,2.64,3.11,4.41,3.09,1.0,0.53,0.88,45.0,12.0,2.0,0.76,14.0,False
-2.0,-1.77,3.38,-1.92,2.37,0.42,10.0,6.4,7.8,170.0,45.0,5.0,7.35,-85.0,False
0.7,-1.57,-1.0,-0.2,1.67,0.61,10.0,5.65,7.25,125.0,340.0,15.0,9.5,-10.0,False
2.43,5.06,3.94,2.76,4.01,0.44,1.0,0.6,0.1,11.0,33.0,2.0,1.66,-2.0,False
3.71,3.58,3.88,2.26,3.23,0.57,1.0,0.76,0.58,19.0,26.0,2.0,1.41,-17.0,True
2.24,3.48,4.22,2.34,4.52,0.73,1.0,0.84,0.79,29.0,29.0,2.0,0.0,-1.0,True
5.19,2.86,2.46,5.18,2.44,0.84,1.0,0.62,0.86,11.0,8.0,4.0,2.07,10.0,True
5.04,3.16,2.86,3.17,3.86,0.43,1.0,0.53,0.11,3.0,13.0,4.0,1.34,5.0,True
-1.04,-0.98,-0.08,0.47,-0.52,0.52,10.0,6.5,7.05,215.0,110.0,5.0,13.8,-90.0,False
1.21,-1.82,-1.91,-1.96,-1.38,4.4,10.0,7.3,7.0,190.0,245.0,15.0,5.85,-80.0,False
-2.39,-1.77,-2.29,0.81,-2.22,1.5,10.0,7.9,8.4,210.0,350.0,15.0,5.9,0.0,False
-0.94,0.23,-0.81,-1.69,1.09,0.68,10.0,6.3,5.35,35.0,275.0,5.0,13.95,-80.0,False
-2.9,-2.23,-2.95,0.92,-2.2,2.05,10.0,9.75,6.2,165.0,330.0,5.0,15.25,-30.0,True
5.05,2.72,3.69,3.42,2.65,0.88,1.0,0.76,0.41,37.0,17.0,2.0,0.06,6.0,False
2.93,2.44,6.65,2.09,4.11,1.04,0.0,0.83,0.9,30.0,50.0,4.0,0.66,6.0,True
2.6,2.84,3.83,3.94,3.08,2.36,0.0,0.17,0.59,13.0,49.0,2.0,1.86,-4.0,False
4.95,2.99,2.39,2.89,3.57,0.13,1.0,0.92,0.87,32.0,3.0,4.0,1.35,16.0,True
2.55,3.1,2.58,3.09,3.14,0.55,1.0,0.82,0.4,40.0,55.0,4.0,0.88,9.0,False
3.22,6.69,2.8,2.46,2.38,3.61,1.0,0.71,0.61,43.0,46.0,4.0,1.11,3.0,False
4.49,3.99,2.77,2.6,5.13,1.3,1.0,0.65,0.53,40.0,5.0,2.0,1.64,-13.0,False
2.98,2.74,2.59,3.22,4.81,0.37,1.0,0.33,0.4,1.0,2.0,2.0,1.91,-5.0,False
0.23,-1.88,0.72,-2.03,2.83,2.39,10.0,7.55,6.3,195.0,270.0,15.0,9.25,65.0,False
2.97,3.65,6.35,4.29,2.51,0.29,1.0,0.25,0.59,25.0,4.0,4.0,0.54,5.0,False
-2.13,-2.05,-0.99,-1.33,-2.3,2.37,10.0,6.25,9.75,120.0,100.0,5.0,9.8,-75.0,True
3.14,2.64,2.45,3.21,4.6,0.16,1.0,0.31,0.91,14.0,20.0,2.0,1.89,17.0,True
-1.79,-2.05,-1.79,-2.07,-2.2,1.13,10.0,5.95,8.65,55.0,305.0,15.0,7.1,-45.0,False
4.77,3.56,2.41,4.16,3.12,1.05,1.0,0.67,0.72,18.0,15.0,2.0,1.33,6.0,True
4.06,4.11,6.97,3.87,3.69,1.08,1.0,0.82,0.84,6.0,37.0,4.0,1.99,14.0,True
-0.26,-1.3,-1.05,-1.48,-0.39,-0.15,10.0,5.05,8.35,145.0,175.0,15.0,7.1,35.0,False
-1.45,-1.59,-1.51,-1.11,0.27,1.15,10.0,5.9,6.25,85.0,100.0,15.0,5.45,90.0,False
-2.58,-2.55,-3.0,0.12,-2.71,0.85,10.0,8.9,8.05,165.0,365.0,25.0,6.4,90.0,True
6.01,2.87,3.11,3.86,3.06,-0.08,1.0,0.59,0.22,9.0,7.0,4.0,1.77,19.0,True
-1.71,-1.83,-2.09,-1.81,-1.37,0.61,10.0,6.75,5.6,20.0,80.0,15.0,9.4,60.0,False
-1.39,-1.12,2.04,-0.01,-0.7,-0.65,10.0,5.6,5.8,35.0,85.0,15.0,9.2,-55.0,False
4.23,3.37,2.45,4.6,3.8,0.4,1.0,0.42,0.73,20.0,6.0,2.0,0.95,13.0,False
6.72,3.33,4.12,5.15,2.75,1.27,1.0,1.0,0.14,6.0,24.0,2.0,1.58,-10.0,True
-1.6,1.0,-1.73,-1.54,-2.02,0.26,10.0,5.8,8.7,60.0,190.0,15.0,7.95,-65.0,False
2.17,-2.15,-0.93,-2.5,-0.79,2.99,10.0,6.5,8.9,70.0,145.0,5.0,6.2,-95.0,False
0.22,0.99,-0.64,-0.98,-0.83,-0.75,10.0,5.3,7.9,205.0,195.0,15.0,6.0,85.0,False
-3.17,-2.81,-3.03,-1.52,-2.49,1.81,10.0,9.7,5.25,15.0,255.0,5.0,8.45,-5.0,True
1.6,-1.31,-1.74,-1.28,-1.52,2.24,10.0,7.85,5.7,220.0,130.0,5.0,9.7,-80.0,False
0.71,1.93,0.99,1.5,1.81,-0.64,10.0,5.4,6.5,205.0,40.0,5.0,14.85,-35.0,False
3.04,4.58,4.0,4.55,4.99,0.89,1.0,0.5,0.54,8.0,8.0,4.0,0.17,12.0,False
-1.85,-1.89,-1.78,-1.09,-1.37,0.5,10.0,6.4,8.55,205.0,120.0,15.0,6.35,75.0,True
3.88,3.3,3.42,5.49,2.5,0.18,1.0,0.23,0.47,1.0,10.0,4.0,0.82,22.0,True
-3.02,-2.76,-2.94,-2.87,-2.99,1.58,10.0,9.9,6.4,115.0,125.0,5.0,5.4,-85.0,True
-2.05,0.13,-1.69,1.04,4.75,0.24,10.0,6.4,9.0,225.0,250.0,15.0,8.2,35.0,False
3.46,2.19,2.7,3.19,3.77,1.77,1.0,0.8,0.84,33.0,11.0,2.0,0.33,-15.0,True
2.19,3.44,2.89,1.95,2.37,1.42,1.0,0.83,1.03,-2.0,16.0,2.0,0.57,-16.0,True
-1.72,-1.58,-2.39,-1.12,-3.12,-0.5,10.0,9.25,6.0,15.0,170.0,15.0,6.8,15.0,True
4.7,2.75,4.43,4.29,2.49,0.43,1.0,0.48,0.39,30.0,44.0,4.0,1.23,6.0,False
4.77,6.66,3.05,4.82,3.63,2.68,1.0,0.43,0.68,40.0,6.0,2.0,1.2,-11.0,False
-0.61,-1.29,-1.04,-1.74,0.45,-0.76,10.0,7.95,5.4,215.0,255.0,25.0,8.75,10.0,False
6.69,4.37,2.58,3.27,2.85,0.57,1.0,0.22,0.69,-0.0,5.0,2.0,0.59,19.0,False
-1.51,-1.41,-1.25,-2.1,-2.06,-0.82,10.0,6.75,5.85,70.0,180.0,25.0,7.95,30.0,True
8.6,3.17,2.95,3.99,2.24,0.73,1.0,0.94,0.7,21.0,48.0,2.0,0.26,19.0,True
1.46,-0.85,-1.67,-1.06,-1.55,-0.73,10.0,5.55,8.45,150.0,10.0,5.0,8.4,0.0,False
6.02,4.22,2.34,3.87,3.67,1.14,1.0,0.61,0.41,19.0,2.0,2.0,0.9,-19.0,False
4.03,3.04,2.96,2.66,3.26,1.13,1.0,0.08,0.74,17.0,1.0,2.0,0.95,17.0,False
4.19,2.48,2.1,2.34,3.25,0.12,1.0,1.01,0.89,39.0,11.0,4.0,1.65,10.0,True
6.14,2.96,2.62,2.51,4.53,2.43,1.0,0.2,0.54,4.0,7.0,2.0,2.09,-3.0,False
